GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,PRETRACTA,TRACTA,POSTTRCTA,AREANAME,white,nonwhite
G3600050000100,1940,New York,36,Bronx,005,,0001,00,STCTY-36005 HEALTH AREA-    0001.00  IN NEW YORK NY,8593,360
G3600050000200,1940,New York,36,Bronx,005,,0002,00,STCTY-36005 HEALTH AREA-    0002.00  IN NEW YORK NY,13445,70
G3600050000310,1940,New York,36,Bronx,005,,0003,10,STCTY-36005 HEALTH AREA-    0003.10  IN NEW YORK NY,18772,61
G3600050000320,1940,New York,36,Bronx,005,,0003,20,STCTY-36005 HEALTH AREA-    0003.20  IN NEW YORK NY,23439,144
G3600050000410,1940,New York,36,Bronx,005,,0004,10,STCTY-36005 HEALTH AREA-    0004.10  IN NEW YORK NY,32691,138
G3600050000420,1940,New York,36,Bronx,005,,0004,20,STCTY-36005 HEALTH AREA-    0004.20  IN NEW YORK NY,29197,113
G3600050000510,1940,New York,36,Bronx,005,,0005,10,STCTY-36005 HEALTH AREA-    0005.10  IN NEW YORK NY,16817,66
G3600050000520,1940,New York,36,Bronx,005,,0005,20,STCTY-36005 HEALTH AREA-    0005.20  IN NEW YORK NY,21832,146
G3600050000610,1940,New York,36,Bronx,005,,0006,10,STCTY-36005 HEALTH AREA-    0006.10  IN NEW YORK NY,22999,770
G3600050000620,1940,New York,36,Bronx,005,,0006,20,STCTY-36005 HEALTH AREA-    0006.20  IN NEW YORK NY,18099,736
G3600050000710,1940,New York,36,Bronx,005,,0007,10,STCTY-36005 HEALTH AREA-    0007.10  IN NEW YORK NY,3788,23
G3600050000720,1940,New York,36,Bronx,005,,0007,20,STCTY-36005 HEALTH AREA-    0007.20  IN NEW YORK NY,4566,297
G3600050000810,1940,New York,36,Bronx,005,,0008,10,STCTY-36005 HEALTH AREA-    0008.10  IN NEW YORK NY,27795,122
G3600050000820,1940,New York,36,Bronx,005,,0008,20,STCTY-36005 HEALTH AREA-    0008.20  IN NEW YORK NY,11974,37
G3600050000900,1940,New York,36,Bronx,005,,0009,00,STCTY-36005 HEALTH AREA-    0009.00  IN NEW YORK NY,36047,78
G3600050001000,1940,New York,36,Bronx,005,,0010,00,STCTY-36005 HEALTH AREA-    0010.00  IN NEW YORK NY,27396,86
G3600050001100,1940,New York,36,Bronx,005,,0011,00,STCTY-36005 HEALTH AREA-    0011.00  IN NEW YORK NY,25834,40
G3600050001210,1940,New York,36,Bronx,005,,0012,10,STCTY-36005 HEALTH AREA-    0012.10  IN NEW YORK NY,23544,82
G3600050001220,1940,New York,36,Bronx,005,,0012,20,STCTY-36005 HEALTH AREA-    0012.20  IN NEW YORK NY,20922,200
G3600050001310,1940,New York,36,Bronx,005,,0013,10,STCTY-36005 HEALTH AREA-    0013.10  IN NEW YORK NY,17403,8
G3600050001320,1940,New York,36,Bronx,005,,0013,20,STCTY-36005 HEALTH AREA-    0013.20  IN NEW YORK NY,11974,64
G3600050001410,1940,New York,36,Bronx,005,,0014,10,STCTY-36005 HEALTH AREA-    0014.10  IN NEW YORK NY,3898,1
G3600050001420,1940,New York,36,Bronx,005,,0014,20,STCTY-36005 HEALTH AREA-    0014.20  IN NEW YORK NY,22541,20
G3600050001510,1940,New York,36,Bronx,005,,0015,10,STCTY-36005 HEALTH AREA-    0015.10  IN NEW YORK NY,18089,102
G3600050001520,1940,New York,36,Bronx,005,,0015,20,STCTY-36005 HEALTH AREA-    0015.20  IN NEW YORK NY,23521,31
G3600050001600,1940,New York,36,Bronx,005,,0016,00,STCTY-36005 HEALTH AREA-    0016.00  IN NEW YORK NY,33527,97
G3600050001700,1940,New York,36,Bronx,005,,0017,00,STCTY-36005 HEALTH AREA-    0017.00  IN NEW YORK NY,23196,54
G3600050001800,1940,New York,36,Bronx,005,,0018,00,STCTY-36005 HEALTH AREA-    0018.00  IN NEW YORK NY,18935,181
G3600050001900,1940,New York,36,Bronx,005,,0019,00,STCTY-36005 HEALTH AREA-    0019.00  IN NEW YORK NY,29638,112
G3600050002000,1940,New York,36,Bronx,005,,0020,00,STCTY-36005 HEALTH AREA-    0020.00  IN NEW YORK NY,31717,253
G3600050002110,1940,New York,36,Bronx,005,,0021,10,STCTY-36005 HEALTH AREA-    0021.10  IN NEW YORK NY,22683,31
G3600050002120,1940,New York,36,Bronx,005,,0021,20,STCTY-36005 HEALTH AREA-    0021.20  IN NEW YORK NY,18451,455
G3600050002210,1940,New York,36,Bronx,005,,0022,10,STCTY-36005 HEALTH AREA-    0022.10  IN NEW YORK NY,30388,128
G3600050002220,1940,New York,36,Bronx,005,,0022,20,STCTY-36005 HEALTH AREA-    0022.20  IN NEW YORK NY,34785,101
G3600050002310,1940,New York,36,Bronx,005,,0023,10,STCTY-36005 HEALTH AREA-    0023.10  IN NEW YORK NY,28807,114
G3600050002320,1940,New York,36,Bronx,005,,0023,20,STCTY-36005 HEALTH AREA-    0023.20  IN NEW YORK NY,19289,104
G3600050002400,1940,New York,36,Bronx,005,,0024,00,STCTY-36005 HEALTH AREA-    0024.00  IN NEW YORK NY,19524,1558
G3600050002500,1940,New York,36,Bronx,005,,0025,00,STCTY-36005 HEALTH AREA-    0025.00  IN NEW YORK NY,33731,259
G3600050002600,1940,New York,36,Bronx,005,,0026,00,STCTY-36005 HEALTH AREA-    0026.00  IN NEW YORK NY,23098,1110
G3600050002700,1940,New York,36,Bronx,005,,0027,00,STCTY-36005 HEALTH AREA-    0027.00  IN NEW YORK NY,25498,1703
G3600050002800,1940,New York,36,Bronx,005,,0028,00,STCTY-36005 HEALTH AREA-    0028.00  IN NEW YORK NY,16464,2792
G3600050002900,1940,New York,36,Bronx,005,,0029,00,STCTY-36005 HEALTH AREA-    0029.00  IN NEW YORK NY,29875,122
G3600050003010,1940,New York,36,Bronx,005,,0030,10,STCTY-36005 HEALTH AREA-    0030.10  IN NEW YORK NY,23089,61
G3600050003020,1940,New York,36,Bronx,005,,0030,20,STCTY-36005 HEALTH AREA-    0030.20  IN NEW YORK NY,26044,29
G3600050003030,1940,New York,36,Bronx,005,,0030,30,STCTY-36005 HEALTH AREA-    0030.30  IN NEW YORK NY,9137,14
G3600050003100,1940,New York,36,Bronx,005,,0031,00,STCTY-36005 HEALTH AREA-    0031.00  IN NEW YORK NY,16317,15
G3600050003210,1940,New York,36,Bronx,005,,0032,10,STCTY-36005 HEALTH AREA-    0032.10  IN NEW YORK NY,13714,21
G3600050003220,1940,New York,36,Bronx,005,,0032,20,STCTY-36005 HEALTH AREA-    0032.20  IN NEW YORK NY,8712,6
G3600050003310,1940,New York,36,Bronx,005,,0033,10,STCTY-36005 HEALTH AREA-    0033.10  IN NEW YORK NY,23573,92
G3600050003320,1940,New York,36,Bronx,005,,0033,20,STCTY-36005 HEALTH AREA-    0033.20  IN NEW YORK NY,35666,512
G3600050003400,1940,New York,36,Bronx,005,,0034,00,STCTY-36005 HEALTH AREA-    0034.00  IN NEW YORK NY,16686,602
G3600050003500,1940,New York,36,Bronx,005,,0035,00,STCTY-36005 HEALTH AREA-    0035.00  IN NEW YORK NY,24463,2464
G3600050003600,1940,New York,36,Bronx,005,,0036,00,STCTY-36005 HEALTH AREA-    0036.00  IN NEW YORK NY,21143,1299
G3600050003700,1940,New York,36,Bronx,005,,0037,00,STCTY-36005 HEALTH AREA-    0037.00  IN NEW YORK NY,22173,1787
G3600050003800,1940,New York,36,Bronx,005,,0038,00,STCTY-36005 HEALTH AREA-    0038.00  IN NEW YORK NY,17266,1098
G3600050003900,1940,New York,36,Bronx,005,,0039,00,STCTY-36005 HEALTH AREA-    0039.00  IN NEW YORK NY,19034,239
G3600050004000,1940,New York,36,Bronx,005,,0040,00,STCTY-36005 HEALTH AREA-    0040.00  IN NEW YORK NY,24005,380
