GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,CTY_SUBA,COUSUBCC,PLACEA,PLACECC,PLACEDC,TRACTA,TRBL_CTA,BLCK_GRPA,TRBL_BGA,C_CITYA,AIANHHA,RES_ONLYA,TRUSTA,AIANHHCC,AITSCE,TRBL_SUBA,ANRCA,MSA_CMSAA,CMSA,MACCI,PMSAA,NECMAA,NECMACCI,URB_AREAA,UATYPE,CD106A,CD108A,CD109A,ZIP3A,ZCTAA,AREALAND,AREAWATR,NAME,FUNCSTAT,INTPTLAT,INTPLON,LSADC,MACC,UACP,white,black,native,asian,hawaiian,other,multi,white_his,black_his,native_his,asian_his,hawaiian_his,other_his,multi_his
G3600010000100,2000,NY,1,2,New York,36,Albany,001,,,,,0,000100,000100,,,,,,,,,,,0160,99,N,9999,9999,9,,,,,,,,2355033,235376,Census Tract 1,S,42670229,-73737914,,,,683,839,1,47,2,6,56,23,33,0,0,0,35,3
G3600010000200,2000,NY,1,2,New York,36,Albany,001,,,,,0,000200,000200,,,,,,,,,,,0160,99,N,9999,9999,9,,,,,,,,2082995,0,Census Tract 2,S,42661579,-73751882,,,,705,4084,4,102,9,10,176,109,134,2,0,0,111,45
G3600010000300,2000,NY,1,2,New York,36,Albany,001,,,,,0,000300,000300,,,,,,,,,,,0160,99,N,9999,9999,9,,,,,,,,5713119,24036,Census Tract 3,S,42680678,-73780415,,,,3049,1906,7,150,2,14,112,106,64,7,0,2,106,35
G3600010000401,2000,NY,1,2,New York,36,Albany,001,,,,,0,000401,000401,,,,,,,,,,,0160,99,N,9999,9999,9,,,,,,,,9093518,64623,Census Tract 4.01,S,42706253,-73863199,,,,1834,144,4,62,0,3,19,33,7,1,3,0,12,5
G3600010000403,2000,NY,1,2,New York,36,Albany,001,,,,,0,000403,000403,,,,,,,,,,,0160,99,N,9999,9999,9,,,,,,,,3299377,0,Census Tract 4.03,S,42675278,-73800854,,,,3720,300,7,171,1,9,79,59,17,3,0,0,39,6
G3600010000404,2000,NY,1,2,New York,36,Albany,001,,,,,0,000404,000404,,,,,,,,,,,0160,99,N,9999,9999,9,,,,,,,,1699598,72137,Census Tract 4.04,S,42692101,-73828396,,,,3328,622,4,498,0,17,75,133,29,3,4,0,172,37
G3600010000501,2000,NY,1,2,New York,36,Albany,001,,,,,0,000501,000501,,,,,,,,,,,0160,99,N,9999,9999,9,,,,,,,,550160,0,Census Tract 5.01,S,42671328,-73783324,,,,1939,1064,9,95,2,3,122,89,41,2,1,0,104,35
G3600010000502,2000,NY,1,2,New York,36,Albany,001,,,,,0,000502,000502,,,,,,,,,,,0160,99,N,9999,9999,9,,,,,,,,776247,0,Census Tract 5.02,S,42667779,-73787044,,,,2757,416,14,148,2,4,69,114,5,2,0,1,48,9
G3600010000600,2000,NY,1,2,New York,36,Albany,001,,,,,0,000600,000600,,,,,,,,,,,0160,99,N,9999,9999,9,,,,,,,,524954,0,Census Tract 6,S,42663979,-73773195,,,,1629,1049,7,170,1,6,153,120,53,3,0,3,84,18
G3600010000700,2000,NY,1,2,New York,36,Albany,001,,,,,0,000700,000700,,,,,,,,,,,0160,99,N,9999,9999,9,,,,,,,,1656134,2458,Census Tract 7,S,42668329,-73767535,,,,637,3047,25,67,0,16,139,42,79,2,2,0,55,28
G3600010000800,2000,NY,1,2,New York,36,Albany,001,,,,,0,000800,000800,,,,,,,,,,,0160,99,N,9999,9999,9,,,,,,,,353191,0,Census Tract 8,S,42659879,-73765164,,,,586,1404,17,31,0,3,78,60,25,5,0,0,44,31
G3600010001100,2000,NY,1,2,New York,36,Albany,001,,,,,0,001100,001100,,,,,,,,,,,0160,99,N,9999,9999,9,,,,,,,,1827962,165404,Census Tract 11,S,42652379,-73750173,,,,550,552,6,26,0,3,39,30,10,0,1,0,33,6
