year,percentile,value
1950,0,283.2162162162162
1950,0.1,2200
1950,0.2,2700
1950,0.3,3000
1950,0.4,3300
1950,0.5,3400
1950,0.6,3600
1950,0.7,3800
1950,0.8,4100
1950,0.9,4500
1950,1,9699.1
1960,0,530.71875
1960,0.1,3600
1960,0.2,4300
1960,0.3,5000
1960,0.4,5500
1960,0.5,5800
1960,0.6,6100
1960,0.7,6400
1960,0.8,6800
1960,0.9,7500
1960,1,18333
1970,0,499.5
1970,0.1,4800
1970,0.2,5900
1970,0.3,6800
1970,0.4,7700
1970,0.5,8500
1970,0.6,9100
1970,0.7,9900
1970,0.8,10700
1970,0.9,11900
1970,1,26162.74418604651
1980,0,0
1980,0.1,6800
1980,0.2,8800
1980,0.3,10900
1980,0.4,12600
1980,0.5,14400
1980,0.6,16100
1980,0.7,17800
1980,0.8,20000
1980,0.9,22500
1980,1,70833
1990,0,0
1990,0.1,13600
1990,0.2,19200
1990,0.3,24000
1990,0.4,27000
1990,0.5,30500
1990,0.6,33700
1990,0.7,37300
1990,0.8,41900
1990,0.9,47800
1990,1,150001
2000,0,0
2000,0.1,18400
2000,0.2,25200
2000,0.3,30300
2000,0.4,34200
2000,0.5,38000
2000,0.6,42800
2000,0.7,48600
2000,0.8,55000
2000,0.9,64300
2000,1,188697
2010,0,9675
2010,0.1,26300
2010,0.2,34700
2010,0.3,40800
2010,0.4,46900
2010,0.5,52700
2010,0.6,59200
2010,0.7,66600
2010,0.8,77100
2010,0.9,91100
2010,1,250001
2020,0,11406
2020,0.1,38800
2020,0.2,52500
2020,0.3,62200
2020,0.4,71000
2020,0.5,78800
2020,0.6,88200
2020,0.7,98200
2020,0.8,111900
2020,0.9,138700
2020,1,250001
